NOME|CPF|ENDERECO|LEITURAANTERIOR|LEITURAATUAL|CONSUMO|VALOR|MES|ANO
MARIA|12345678901|RUA 1|0|50|50|0|11|2017
MARIA|12345678901|RUA 1|50|70|20|0|12|2017
MARIA|12345678901|RUA 1|70|120|50|0|1|2017
MARIA|12345678901|RUA 1|120|150|30|0|2|2017
MARIA|12345678901|RUA 1|150|180|30|0|3|2017
MARIA|12345678901|RUA 1|180|200|20|22,45|4|2017
LOJA|12378945620|RUA 5|0|100|100|84,638625|1|2017
LOJA|12378945620|RUA 5|100|200|100|84,638625|2|2017
MARIA|12345678901|RUA 1|0|270|270|196,347325|5|2017
LOJA|12378945620|RUA 5|0|400|400|281,771625|5|2017
VINI|147258369|RUA 3|0|1000|1000|676,04|1|2017
VINI|147258369|RUA 3|1000|1200|200|150,35|2|2017
VINI|147258369|RUA 3|1200|1400|200|150,35|3|2017
VINI|147258369|RUA 3|1400|1600|200|150,35|3|2017
VINI|147258369|RUA 3|1600|1800|200|150,35|4|2017
VINI|147258369|RUA 3|1800|2000|200|150,35|5|2017
VINI|147258369|RUA 3|2000|2200|200|150,35|6|2017
VINI|147258369|RUA 3|2200|2400|200|150,35|7|2017
VINI|147258369|RUA 3|2400|2600|200|150,35|8|2017
VINI|147258369|RUA 3|2600|2800|200|150,35|9|2017
VINI|147258369|RUA 3|2800|3000|200|150,35|10|2017
VINI|147258369|RUA 3|3000|3200|200|150,35|11|2017
VINI|147258369|RUA 3|3200|3400|200|150,35|12|2017
CINTIA AVELAR|123456789|RUA NENHUMA|0|46345|46345|30472,69|10|2017
CINTIA AVELAR|123456789|RUA NENHUMA|46345|74540|28195|18546,14|11|2017
CINTIA AVELAR|123456789|RUA NENHUMA|74540|465768|391228|257098,76|9|2017
MARIA|12345678901|RUA 1|270|10|-260|-106,35|3|2011
ARNALDO COMPANY|123123123|RUA SEI LA|0|1999999|1999999|820012,84|12|2019
ARNALDO COMPANY|123123123|RUA SEI LA|1999999|555555|-1444444|-592208,79|5|2019
ARNALDO COMPANY|123123123|RUA SEI LA|555555|55555555|55000000|22550013,25|6|2019
